School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2005-2006,101,Alexandria City ,Mathematics,Grade 5,SOL,Mathematics,318,261,144,579,723,43.98,36.1,19.92,80.08,474
2005-2006,101,Alexandria City ,Mathematics,Grade 6,SOL,Mathematics,27,173,379,200,579,4.66,29.88,65.46,34.54,369
2005-2006,101,Alexandria City ,Mathematics,Grade 7,SOL,Mathematics,35,162,429,197,626,5.59,25.88,68.53,31.47,362
2005-2006,101,Alexandria City ,Mathematics,Grade 8,SOL,Mathematics,154,230,250,384,634,24.29,36.28,39.43,60.57,421
2005-2006,3,Alleghany County ,Mathematics,Grade 3,SOL,Mathematics,118,99,8,217,225,52.44,44,3.56,96.44,501
2005-2006,3,Alleghany County ,Mathematics,Grade 4,SOL,Mathematics,65,103,30,168,198,32.83,52.02,15.15,84.85,466
2005-2006,3,Alleghany County ,Mathematics,Grade 5,SOL,Mathematics,127,76,27,203,230,55.22,33.04,11.74,88.26,500
2005-2006,3,Alleghany County ,Mathematics,Grade 6,SOL,Mathematics,35,82,82,117,199,17.59,41.21,41.21,58.79,424
2005-2006,3,Alleghany County ,Mathematics,Grade 7,SOL,Mathematics,5,44,83,49,132,3.79,33.33,62.88,37.12,379
2005-2006,3,Alleghany County ,Mathematics,Grade 8,SOL,Mathematics,67,82,38,149,187,35.83,43.85,20.32,79.68,463
2005-2006,4,Amelia County ,Mathematics,Grade 3,SOL,Mathematics,66,49,11,115,126,52.38,38.89,8.73,91.27,495
2005-2006,4,Amelia County ,Mathematics,Grade 4,SOL,Mathematics,35,50,19,85,104,33.65,48.08,18.27,81.73,461
2005-2006,4,Amelia County ,Mathematics,Grade 5,SOL,Mathematics,46,47,9,93,102,45.1,46.08,8.82,91.18,487
2005-2006,4,Amelia County ,Mathematics,Grade 6,SOL,Mathematics,9,37,91,46,137,6.57,27.01,66.42,33.58,361
2005-2006,4,Amelia County ,Mathematics,Grade 7,SOL,Mathematics,0,14,60,14,74,0,18.92,81.08,18.92,333
2005-2006,4,Amelia County ,Mathematics,Grade 8,SOL,Mathematics,36,53,23,89,112,32.14,47.32,20.54,79.46,455
2005-2006,5,Amherst County ,Mathematics,Grade 3,SOL,Mathematics,156,125,41,281,322,48.45,38.82,12.73,87.27,482
2005-2006,5,Amherst County ,Mathematics,Grade 4,SOL,Mathematics,88,150,83,238,321,27.41,46.73,25.86,74.14,449
2005-2006,5,Amherst County ,Mathematics,Grade 5,SOL,Mathematics,217,98,44,315,359,60.45,27.3,12.26,87.74,503
2005-2006,5,Amherst County ,Mathematics,Grade 6,SOL,Mathematics,10,74,182,84,266,3.76,27.82,68.42,31.58,366
2005-2006,5,Amherst County ,Mathematics,Grade 7,SOL,Mathematics,36,121,198,157,355,10.14,34.08,55.77,44.23,390
2005-2006,5,Amherst County ,Mathematics,Grade 8,SOL,Mathematics,119,162,90,281,371,32.08,43.67,24.26,75.74,453
2005-2006,6,Appomattox County ,Mathematics,Grade 3,SOL,Mathematics,105,59,4,164,168,62.5,35.12,2.38,97.62,513
2005-2006,6,Appomattox County ,Mathematics,Grade 4,SOL,Mathematics,90,71,8,161,169,53.25,42.01,4.73,95.27,500
2005-2006,6,Appomattox County ,Mathematics,Grade 5,SOL,Mathematics,93,47,5,140,145,64.14,32.41,3.45,96.55,521
2005-2006,6,Appomattox County ,Mathematics,Grade 6,SOL,Mathematics,15,52,82,67,149,10.07,34.9,55.03,44.97,393
2005-2006,6,Appomattox County ,Mathematics,Grade 7,SOL,Mathematics,3,28,97,31,128,2.34,21.88,75.78,24.22,354
2005-2006,6,Appomattox County ,Mathematics,Grade 8,SOL,Mathematics,52,78,33,130,163,31.9,47.85,20.25,79.75,463
2005-2006,7,Arlington County ,Mathematics,Grade 3,SOL,Mathematics,792,430,98,"1,222","1,320",60,32.58,7.42,92.58,509
2005-2006,7,Arlington County ,Mathematics,Grade 4,SOL,Mathematics,523,484,266,"1,007","1,273",41.08,38.02,20.9,79.1,473
2005-2006,7,Arlington County ,Mathematics,Grade 5,SOL,Mathematics,636,386,208,"1,022","1,230",51.71,31.38,16.91,83.09,493
2005-2006,7,Arlington County ,Mathematics,Grade 6,SOL,Mathematics,16,187,470,203,673,2.38,27.79,69.84,30.16,366
2005-2006,7,Arlington County ,Mathematics,Grade 7,SOL,Mathematics,167,362,561,529,"1,090",15.32,33.21,51.47,48.53,395
2005-2006,7,Arlington County ,Mathematics,Grade 8,SOL,Mathematics,363,414,302,777,"1,079",33.64,38.37,27.99,72.01,452
2005-2006,8,Augusta County ,Mathematics,Grade 3,SOL,Mathematics,384,284,77,668,745,51.54,38.12,10.34,89.66,495
2005-2006,8,Augusta County ,Mathematics,Grade 4,SOL,Mathematics,272,352,144,624,768,35.42,45.83,18.75,81.25,467
2005-2006,8,Augusta County ,Mathematics,Grade 5,SOL,Mathematics,342,342,151,684,835,40.96,40.96,18.08,81.92,477
2005-2006,8,Augusta County ,Mathematics,Grade 6,SOL,Mathematics,124,291,386,415,801,15.48,36.33,48.19,51.81,402
2005-2006,8,Augusta County ,Mathematics,Grade 7,SOL,Mathematics,109,255,455,364,819,13.31,31.14,55.56,44.44,396
2005-2006,8,Augusta County ,Mathematics,Grade 8,SOL,Mathematics,325,326,214,651,865,37.57,37.69,24.74,75.26,464
2005-2006,9,Bath County ,Mathematics,Grade 3,SOL,Mathematics,18,19,2,37,39,46.15,48.72,5.13,94.87,495
2005-2006,9,Bath County ,Mathematics,Grade 4,SOL,Mathematics,20,33,6,53,59,33.9,55.93,10.17,89.83,472
2005-2006,9,Bath County ,Mathematics,Grade 5,SOL,Mathematics,21,22,14,43,57,36.84,38.6,24.56,75.44,458
2005-2006,9,Bath County ,Mathematics,Grade 6,SOL,Mathematics,11,33,24,44,68,16.18,48.53,35.29,64.71,419
2005-2006,9,Bath County ,Mathematics,Grade 7,SOL,Mathematics,6,27,25,33,58,10.34,46.55,43.1,56.9,408
2005-2006,9,Bath County ,Mathematics,Grade 8,SOL,Mathematics,25,37,13,62,75,33.33,49.33,17.33,82.67,472
2005-2006,10,Bedford County ,Mathematics,Grade 3,SOL,Mathematics,410,333,73,743,816,50.25,40.81,8.95,91.05,494
2005-2006,10,Bedford County ,Mathematics,Grade 4,SOL,Mathematics,270,390,145,660,805,33.54,48.45,18.01,81.99,464
2005-2006,10,Bedford County ,Mathematics,Grade 5,SOL,Mathematics,356,304,136,660,796,44.72,38.19,17.09,82.91,483
2005-2006,10,Bedford County ,Mathematics,Grade 6,SOL,Mathematics,107,244,408,351,759,14.1,32.15,53.75,46.25,398
2005-2006,10,Bedford County ,Mathematics,Grade 7,SOL,Mathematics,130,321,415,451,866,15.01,37.07,47.92,52.08,406
2005-2006,10,Bedford County ,Mathematics,Grade 8,SOL,Mathematics,324,348,127,672,799,40.55,43.55,15.89,84.11,477
2005-2006,11,Bland County ,Mathematics,Grade 3,SOL,Mathematics,32,28,6,60,66,48.48,42.42,9.09,90.91,494
2005-2006,11,Bland County ,Mathematics,Grade 4,SOL,Mathematics,23,30,13,53,66,34.85,45.45,19.7,80.3,459
2005-2006,11,Bland County ,Mathematics,Grade 5,SOL,Mathematics,12,32,23,44,67,17.91,47.76,34.33,65.67,427
2005-2006,11,Bland County ,Mathematics,Grade 6,SOL,Mathematics,8,21,31,29,60,13.33,35,51.67,48.33,408
2005-2006,11,Bland County ,Mathematics,Grade 7,SOL,Mathematics,3,27,34,30,64,4.69,42.19,53.13,46.88,382
2005-2006,11,Bland County ,Mathematics,Grade 8,SOL,Mathematics,24,34,17,58,75,32,45.33,22.67,77.33,454
2005-2006,12,Botetourt County ,Mathematics,Grade 3,SOL,Mathematics,205,118,10,323,333,61.56,35.44,3,97,514
2005-2006,12,Botetourt County ,Mathematics,Grade 4,SOL,Mathematics,108,191,80,299,379,28.5,50.4,21.11,78.89,456
2005-2006,12,Botetourt County ,Mathematics,Grade 5,SOL,Mathematics,188,135,32,323,355,52.96,38.03,9.01,90.99,500
2005-2006,12,Botetourt County ,Mathematics,Grade 6,SOL,Mathematics,50,139,154,189,343,14.58,40.52,44.9,55.1,410
2005-2006,12,Botetourt County ,Mathematics,Grade 7,SOL,Mathematics,15,122,106,137,243,6.17,50.21,43.62,56.38,405
2005-2006,12,Botetourt County ,Mathematics,Grade 8,SOL,Mathematics,152,158,61,310,371,40.97,42.59,16.44,83.56,479
2005-2006,102,Bristol City ,Mathematics,Grade 3,SOL,Mathematics,67,58,24,125,149,44.97,38.93,16.11,83.89,477
2005-2006,102,Bristol City ,Mathematics,Grade 4,SOL,Mathematics,36,81,45,117,162,22.22,50,27.78,72.22,440
2005-2006,102,Bristol City ,Mathematics,Grade 5,SOL,Mathematics,79,57,32,136,168,47.02,33.93,19.05,80.95,485
2005-2006,102,Bristol City ,Mathematics,Grade 6,SOL,Mathematics,10,54,123,64,187,5.35,28.88,65.78,34.22,375
2005-2006,102,Bristol City ,Mathematics,Grade 7,SOL,Mathematics,10,60,77,70,147,6.8,40.82,52.38,47.62,382
2005-2006,102,Bristol City ,Mathematics,Grade 8,SOL,Mathematics,53,73,46,126,172,30.81,42.44,26.74,73.26,449
2005-2006,13,Brunswick County ,Mathematics,Grade 3,SOL,Mathematics,48,75,41,123,164,29.27,45.73,25,75,450
2005-2006,13,Brunswick County ,Mathematics,Grade 4,SOL,Mathematics,27,79,76,106,182,14.84,43.41,41.76,58.24,420
2005-2006,13,Brunswick County ,Mathematics,Grade 5,SOL,Mathematics,53,59,38,112,150,35.33,39.33,25.33,74.67,457
2005-2006,13,Brunswick County ,Mathematics,Grade 6,SOL,Mathematics,21,62,72,83,155,13.55,40,46.45,53.55,406
2005-2006,13,Brunswick County ,Mathematics,Grade 7,SOL,Mathematics,4,50,98,54,152,2.63,32.89,64.47,35.53,359
2005-2006,13,Brunswick County ,Mathematics,Grade 8,SOL,Mathematics,39,79,58,118,176,22.16,44.89,32.95,67.05,432
2005-2006,14,Buchanan County ,Mathematics,Grade 3,SOL,Mathematics,128,93,22,221,243,52.67,38.27,9.05,90.95,495
2005-2006,14,Buchanan County ,Mathematics,Grade 4,SOL,Mathematics,50,114,64,164,228,21.93,50,28.07,71.93,442
2005-2006,14,Buchanan County ,Mathematics,Grade 5,SOL,Mathematics,86,108,46,194,240,35.83,45,19.17,80.83,466
2005-2006,14,Buchanan County ,Mathematics,Grade 6,SOL,Mathematics,15,68,137,83,220,6.82,30.91,62.27,37.73,380
2005-2006,14,Buchanan County ,Mathematics,Grade 7,SOL,Mathematics,28,83,143,111,254,11.02,32.68,56.3,43.7,384
2005-2006,14,Buchanan County ,Mathematics,Grade 8,SOL,Mathematics,118,75,69,193,262,45.04,28.63,26.34,73.66,468
2005-2006,15,Buckingham County ,Mathematics,Grade 3,SOL,Mathematics,59,61,14,120,134,44.03,45.52,10.45,89.55,477
2005-2006,15,Buckingham County ,Mathematics,Grade 4,SOL,Mathematics,30,57,37,87,124,24.19,45.97,29.84,70.16,436
2005-2006,15,Buckingham County ,Mathematics,Grade 5,SOL,Mathematics,52,79,21,131,152,34.21,51.97,13.82,86.18,470
2005-2006,15,Buckingham County ,Mathematics,Grade 6,SOL,Mathematics,16,36,88,52,140,11.43,25.71,62.86,37.14,387
2005-2006,15,Buckingham County ,Mathematics,Grade 7,SOL,Mathematics,0,20,104,20,124,0,16.13,83.87,16.13,341
2005-2006,15,Buckingham County ,Mathematics,Grade 8,SOL,Mathematics,53,80,24,133,157,33.76,50.96,15.29,84.71,461
2005-2006,103,Buena Vista City ,Mathematics,Grade 3,SOL,Mathematics,35,50,8,85,93,37.63,53.76,8.6,91.4,474
2005-2006,103,Buena Vista City ,Mathematics,Grade 4,SOL,Mathematics,29,41,17,70,87,33.33,47.13,19.54,80.46,463
2005-2006,103,Buena Vista City ,Mathematics,Grade 5,SOL,Mathematics,47,35,8,82,90,52.22,38.89,8.89,91.11,491
2005-2006,103,Buena Vista City ,Mathematics,Grade 6,SOL,Mathematics,11,37,35,48,83,13.25,44.58,42.17,57.83,412
2005-2006,103,Buena Vista City ,Mathematics,Grade 7,SOL,Mathematics,6,26,64,32,96,6.25,27.08,66.67,33.33,378
2005-2006,103,Buena Vista City ,Mathematics,Grade 8,SOL,Mathematics,21,28,15,49,64,32.81,43.75,23.44,76.56,453
2005-2006,16,Campbell County ,Mathematics,Grade 3,SOL,Mathematics,317,219,52,536,588,53.91,37.24,8.84,91.16,496
2005-2006,16,Campbell County ,Mathematics,Grade 4,SOL,Mathematics,168,261,143,429,572,29.37,45.63,25,75,451
2005-2006,16,Campbell County ,Mathematics,Grade 5,SOL,Mathematics,248,249,139,497,636,38.99,39.15,21.86,78.14,466
2005-2006,16,Campbell County ,Mathematics,Grade 6,SOL,Mathematics,76,220,383,296,679,11.19,32.4,56.41,43.59,389
2005-2006,16,Campbell County ,Mathematics,Grade 7,SOL,Mathematics,71,229,342,300,642,11.06,35.67,53.27,46.73,397
2005-2006,16,Campbell County ,Mathematics,Grade 8,SOL,Mathematics,282,266,99,548,647,43.59,41.11,15.3,84.7,480
2005-2006,17,Caroline County ,Mathematics,Grade 3,SOL,Mathematics,131,124,32,255,287,45.64,43.21,11.15,88.85,482
2005-2006,17,Caroline County ,Mathematics,Grade 4,SOL,Mathematics,81,154,70,235,305,26.56,50.49,22.95,77.05,452
2005-2006,17,Caroline County ,Mathematics,Grade 5,SOL,Mathematics,127,112,31,239,270,47.04,41.48,11.48,88.52,489
2005-2006,17,Caroline County ,Mathematics,Grade 6,SOL,Mathematics,14,77,201,91,292,4.79,26.37,68.84,31.16,360
2005-2006,17,Caroline County ,Mathematics,Grade 7,SOL,Mathematics,29,113,182,142,324,8.95,34.88,56.17,43.83,385
2005-2006,17,Caroline County ,Mathematics,Grade 8,SOL,Mathematics,50,141,92,191,283,17.67,49.82,32.51,67.49,427
2005-2006,18,Carroll County ,Mathematics,Grade 3,SOL,Mathematics,160,118,27,278,305,52.46,38.69,8.85,91.15,496
2005-2006,18,Carroll County ,Mathematics,Grade 4,SOL,Mathematics,70,115,101,185,286,24.48,40.21,35.31,64.69,441
2005-2006,18,Carroll County ,Mathematics,Grade 5,SOL,Mathematics,125,107,72,232,304,41.12,35.2,23.68,76.32,473
2005-2006,18,Carroll County ,Mathematics,Grade 6,SOL,Mathematics,32,91,169,123,292,10.96,31.16,57.88,42.12,385
2005-2006,18,Carroll County ,Mathematics,Grade 7,SOL,Mathematics,18,71,153,89,242,7.44,29.34,63.22,36.78,375
2005-2006,18,Carroll County ,Mathematics,Grade 8,SOL,Mathematics,89,186,90,275,365,24.38,50.96,24.66,75.34,448
2005-2006,19,Charles City County ,Mathematics,Grade 3,SOL,Mathematics,14,29,19,43,62,22.58,46.77,30.65,69.35,441
2005-2006,19,Charles City County ,Mathematics,Grade 4,SOL,Mathematics,11,25,17,36,53,20.75,47.17,32.08,67.92,427
2005-2006,19,Charles City County ,Mathematics,Grade 5,SOL,Mathematics,29,15,13,44,57,50.88,26.32,22.81,77.19,476
2005-2006,19,Charles City County ,Mathematics,Grade 6,SOL,Mathematics,2,14,49,16,65,3.08,21.54,75.38,24.62,361
2005-2006,19,Charles City County ,Mathematics,Grade 7,SOL,Mathematics,0,0,52,0,52,0,0,100,0,302
2005-2006,19,Charles City County ,Mathematics,Grade 8,SOL,Mathematics,3,27,34,30,64,4.69,42.19,53.13,46.88,392
2005-2006,20,Charlotte County ,Mathematics,Grade 3,SOL,Mathematics,82,59,7,141,148,55.41,39.86,4.73,95.27,503
2005-2006,20,Charlotte County ,Mathematics,Grade 4,SOL,Mathematics,56,75,24,131,155,36.13,48.39,15.48,84.52,473
2005-2006,20,Charlotte County ,Mathematics,Grade 5,SOL,Mathematics,77,65,12,142,154,50,42.21,7.79,92.21,492
2005-2006,20,Charlotte County ,Mathematics,Grade 6,SOL,Mathematics,17,68,70,85,155,10.97,43.87,45.16,54.84,409
2005-2006,20,Charlotte County ,Mathematics,Grade 7,SOL,Mathematics,5,56,74,61,135,3.7,41.48,54.81,45.19,395
2005-2006,20,Charlotte County ,Mathematics,Grade 8,SOL,Mathematics,56,68,21,124,145,38.62,46.9,14.48,85.52,476
2005-2006,104,Charlottesville City ,Mathematics,Grade 3,SOL,Mathematics,133,114,41,247,288,46.18,39.58,14.24,85.76,484
2005-2006,104,Charlottesville City ,Mathematics,Grade 4,SOL,Mathematics,102,94,86,196,282,36.17,33.33,30.5,69.5,456
2005-2006,104,Charlottesville City ,Mathematics,Grade 5,SOL,Mathematics,99,93,57,192,249,39.76,37.35,22.89,77.11,478
2005-2006,104,Charlottesville City ,Mathematics,Grade 6,SOL,Mathematics,65,73,130,138,268,24.25,27.24,48.51,51.49,411
2005-2006,104,Charlottesville City ,Mathematics,Grade 7,SOL,Mathematics,51,34,204,85,289,17.65,11.76,70.59,29.41,360
2005-2006,104,Charlottesville City ,Mathematics,Grade 8,SOL,Mathematics,77,99,118,176,294,26.19,33.67,40.14,59.86,427
2005-2006,136,Chesapeake City ,Mathematics,Grade 3,SOL,Mathematics,"1,514","1,025",141,"2,539","2,680",56.49,38.25,5.26,94.74,509
2005-2006,136,Chesapeake City ,Mathematics,Grade 4,SOL,Mathematics,"1,230","1,235",334,"2,465","2,799",43.94,44.12,11.93,88.07,487
2005-2006,136,Chesapeake City ,Mathematics,Grade 5,SOL,Mathematics,"1,524","1,140",257,"2,664","2,921",52.17,39.03,8.8,91.2,507
2005-2006,136,Chesapeake City ,Mathematics,Grade 6,SOL,Mathematics,548,"1,241",949,"1,789","2,738",20.01,45.33,34.66,65.34,430
2005-2006,136,Chesapeake City ,Mathematics,Grade 7,SOL,Mathematics,103,904,"1,301","1,007","2,308",4.46,39.17,56.37,43.63,389
2005-2006,136,Chesapeake City ,Mathematics,Grade 8,SOL,Mathematics,"1,412","1,334",555,"2,746","3,301",42.77,40.41,16.81,83.19,480
2005-2006,21,Chesterfield County ,Mathematics,Grade 3,SOL,Mathematics,"2,295","1,437",275,"3,732","4,007",57.27,35.86,6.86,93.14,504
2005-2006,21,Chesterfield County ,Mathematics,Grade 4,SOL,Mathematics,"1,614","1,852",674,"3,466","4,140",38.99,44.73,16.28,83.72,473
2005-2006,21,Chesterfield County ,Mathematics,Grade 5,SOL,Mathematics,"1,195","1,345",385,"2,540","2,925",40.85,45.98,13.16,86.84,477
2005-2006,21,Chesterfield County ,Mathematics,Grade 6,SOL,Mathematics,751,"1,473","1,798","2,224","4,022",18.67,36.62,44.7,55.3,413
2005-2006,21,Chesterfield County ,Mathematics,Grade 7,SOL,Mathematics,470,"1,529","2,111","1,999","4,110",11.44,37.2,51.36,48.64,397
2005-2006,21,Chesterfield County ,Mathematics,Grade 8,SOL,Mathematics,"1,651","1,869",891,"3,520","4,411",37.43,42.37,20.2,79.8,468
2005-2006,22,Clarke County ,Mathematics,Grade 3,SOL,Mathematics,96,35,13,131,144,66.67,24.31,9.03,90.97,513
2005-2006,22,Clarke County ,Mathematics,Grade 4,SOL,Mathematics,51,60,29,111,140,36.43,42.86,20.71,79.29,464
2005-2006,22,Clarke County ,Mathematics,Grade 5,SOL,Mathematics,80,57,30,137,167,47.9,34.13,17.96,82.04,483
2005-2006,22,Clarke County ,Mathematics,Grade 6,SOL,Mathematics,38,59,62,97,159,23.9,37.11,38.99,61.01,423
2005-2006,22,Clarke County ,Mathematics,Grade 7,SOL,Mathematics,42,64,55,106,161,26.09,39.75,34.16,65.84,439
2005-2006,22,Clarke County ,Mathematics,Grade 8,SOL,Mathematics,63,58,31,121,152,41.45,38.16,20.39,79.61,462
2005-2006,202,Colonial Beach ,Mathematics,Grade 3,SOL,Mathematics,18,19,6,37,43,41.86,44.19,13.95,86.05,464
2005-2006,202,Colonial Beach ,Mathematics,Grade 4,SOL,Mathematics,3,11,21,14,35,8.57,31.43,60,40,394
2005-2006,202,Colonial Beach ,Mathematics,Grade 5,SOL,Mathematics,8,12,18,20,38,21.05,31.58,47.37,52.63,422
2005-2006,202,Colonial Beach ,Mathematics,Grade 6,SOL,Mathematics,0,13,21,13,34,0,38.24,61.76,38.24,375
2005-2006,202,Colonial Beach ,Mathematics,Grade 7,SOL,Mathematics,0,7,23,7,30,0,23.33,76.67,23.33,344
2005-2006,202,Colonial Beach ,Mathematics,Grade 8,SOL,Mathematics,7,15,23,22,45,15.56,33.33,51.11,48.89,418
2005-2006,106,Colonial Heights City ,Mathematics,Grade 3,SOL,Mathematics,103,83,19,186,205,50.24,40.49,9.27,90.73,492
2005-2006,106,Colonial Heights City ,Mathematics,Grade 4,SOL,Mathematics,73,83,29,156,185,39.46,44.86,15.68,84.32,472
2005-2006,106,Colonial Heights City ,Mathematics,Grade 5,SOL,Mathematics,102,98,41,200,241,42.32,40.66,17.01,82.99,480
2005-2006,106,Colonial Heights City ,Mathematics,Grade 6,SOL,Mathematics,28,72,105,100,205,13.66,35.12,51.22,48.78,406
2005-2006,106,Colonial Heights City ,Mathematics,Grade 7,SOL,Mathematics,21,80,124,101,225,9.33,35.56,55.11,44.89,386
2005-2006,106,Colonial Heights City ,Mathematics,Grade 8,SOL,Mathematics,61,96,50,157,207,29.47,46.38,24.15,75.85,448
2005-2006,107,Covington City ,Mathematics,Grade 3,SOL,Mathematics,28,18,8,46,54,51.85,33.33,14.81,85.19,486
2005-2006,107,Covington City ,Mathematics,Grade 4,SOL,Mathematics,4,36,31,40,71,5.63,50.7,43.66,56.34,410
2005-2006,107,Covington City ,Mathematics,Grade 5,SOL,Mathematics,3,24,27,27,54,5.56,44.44,50,50,397
2005-2006,107,Covington City ,Mathematics,Grade 6,SOL,Mathematics,5,8,48,13,61,8.2,13.11,78.69,21.31,354
2005-2006,107,Covington City ,Mathematics,Grade 7,SOL,Mathematics,1,14,36,15,51,1.96,27.45,70.59,29.41,347
2005-2006,107,Covington City ,Mathematics,Grade 8,SOL,Mathematics,17,31,13,48,61,27.87,50.82,21.31,78.69,460
2005-2006,23,Craig County ,Mathematics,Grade 3,SOL,Mathematics,20,26,3,46,49,40.82,53.06,6.12,93.88,489
2005-2006,23,Craig County ,Mathematics,Grade 4,SOL,Mathematics,10,26,18,36,54,18.52,48.15,33.33,66.67,428
2005-2006,23,Craig County ,Mathematics,Grade 5,SOL,Mathematics,9,31,12,40,52,17.31,59.62,23.08,76.92,452
2005-2006,23,Craig County ,Mathematics,Grade 6,SOL,Mathematics,3,14,35,17,52,5.77,26.92,67.31,32.69,371
2005-2006,23,Craig County ,Mathematics,Grade 7,SOL,Mathematics,0,3,32,3,35,0,8.57,91.43,8.57,330
2005-2006,23,Craig County ,Mathematics,Grade 8,SOL,Mathematics,11,15,24,26,50,22,30,48,52,413
2005-2006,24,Culpeper County ,Mathematics,Grade 3,SOL,Mathematics,291,172,51,463,514,56.61,33.46,9.92,90.08,499
2005-2006,24,Culpeper County ,Mathematics,Grade 4,SOL,Mathematics,162,222,123,384,507,31.95,43.79,24.26,75.74,456
2005-2006,24,Culpeper County ,Mathematics,Grade 5,SOL,Mathematics,215,185,76,400,476,45.17,38.87,15.97,84.03,480
2005-2006,24,Culpeper County ,Mathematics,Grade 6,SOL,Mathematics,16,102,219,118,337,4.75,30.27,64.99,35.01,372
2005-2006,24,Culpeper County ,Mathematics,Grade 7,SOL,Mathematics,39,188,259,227,486,8.02,38.68,53.29,46.71,387
2005-2006,24,Culpeper County ,Mathematics,Grade 8,SOL,Mathematics,252,233,113,485,598,42.14,38.96,18.9,81.1,472
2005-2006,25,Cumberland County ,Mathematics,Grade 3,SOL,Mathematics,40,42,17,82,99,40.4,42.42,17.17,82.83,473
2005-2006,25,Cumberland County ,Mathematics,Grade 4,SOL,Mathematics,23,52,19,75,94,24.47,55.32,20.21,79.79,443
2005-2006,25,Cumberland County ,Mathematics,Grade 5,SOL,Mathematics,34,43,6,77,83,40.96,51.81,7.23,92.77,487
2005-2006,25,Cumberland County ,Mathematics,Grade 6,SOL,Mathematics,15,38,60,53,113,13.27,33.63,53.1,46.9,405
2005-2006,25,Cumberland County ,Mathematics,Grade 7,SOL,Mathematics,9,25,61,34,95,9.47,26.32,64.21,35.79,384
2005-2006,25,Cumberland County ,Mathematics,Grade 8,SOL,Mathematics,28,54,28,82,110,25.45,49.09,25.45,74.55,454
2005-2006,108,Danville City ,Mathematics,Grade 3,SOL,Mathematics,170,224,50,394,444,38.29,50.45,11.26,88.74,474
2005-2006,108,Danville City ,Mathematics,Grade 4,SOL,Mathematics,71,209,146,280,426,16.67,49.06,34.27,65.73,431
2005-2006,108,Danville City ,Mathematics,Grade 5,SOL,Mathematics,202,160,67,362,429,47.09,37.3,15.62,84.38,481
2005-2006,108,Danville City ,Mathematics,Grade 6,SOL,Mathematics,37,112,289,149,438,8.45,25.57,65.98,34.02,368
2005-2006,108,Danville City ,Mathematics,Grade 7,SOL,Mathematics,63,120,301,183,484,13.02,24.79,62.19,37.81,376
2005-2006,108,Danville City ,Mathematics,Grade 8,SOL,Mathematics,123,162,179,285,464,26.51,34.91,38.58,61.42,429
2005-2006,26,Dickenson County ,Mathematics,Grade 3,SOL,Mathematics,77,68,21,145,166,46.39,40.96,12.65,87.35,483
2005-2006,26,Dickenson County ,Mathematics,Grade 4,SOL,Mathematics,19,85,76,104,180,10.56,47.22,42.22,57.78,413
2005-2006,26,Dickenson County ,Mathematics,Grade 5,SOL,Mathematics,71,69,34,140,174,40.8,39.66,19.54,80.46,474
2005-2006,26,Dickenson County ,Mathematics,Grade 6,SOL,Mathematics,31,50,93,81,174,17.82,28.74,53.45,46.55,399
