"School Year","Division Number","Division Name","Subject","Race","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","10","87","18","97","115","8.70","75.65","15.65","84.35","440"
"2021-2022","6","Appomattox County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","13","82","25","95","120","10.83","68.33","20.83","79.17","433"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","261","570","99","831","930","28.06","61.29","10.65","89.35","462"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","322","492","70","814","884","36.43","55.66","7.92","92.08","475"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","212","573","59","785","844","25.12","67.89","6.99","93.01","465"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","308","458","41","766","807","38.17","56.75","5.08","94.92","481"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","237","561","58","798","856","27.69","65.54","6.78","93.22","466"
"2021-2022","7","Arlington County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","265","501","55","766","821","32.28","61.02","6.70","93.30","469"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","50","312","202","362","564","8.87","55.32","35.82","64.18","416"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","64","399","165","463","628","10.19","63.54","26.27","73.73","428"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","39","392","142","431","573","6.81","68.41","24.78","75.22","423"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","60","350","189","410","599","10.02","58.43","31.55","68.45","423"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","54","388","168","442","610","8.85","63.61","27.54","72.46","427"
"2021-2022","8","Augusta County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","63","392","171","455","626","10.06","62.62","27.32","72.68","424"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","0","17","20","17","37",".00","45.95","54.05","45.95","390"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","3","11","14","14","28","10.71","39.29","50.00","50.00","409"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","2","20","17","22","39","5.13","51.28","43.59","56.41","414"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","2","17","11","19","30","6.67","56.67","36.67","63.33","416"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","1","16","14","17","31","3.23","51.61","45.16","54.84","405"
"2021-2022","9","Bath County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","3","19","15","22","37","8.11","51.35","40.54","59.46","413"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","58","300","139","358","497","11.67","60.36","27.97","72.03","428"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","82","320","96","402","498","16.47","64.26","19.28","80.72","441"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","69","364","96","433","529","13.04","68.81","18.15","81.85","439"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","75","301","128","376","504","14.88","59.72","25.40","74.60","436"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","56","311","162","367","529","10.59","58.79","30.62","69.38","424"
"2021-2022","10","Bedford County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","53","341","138","394","532","9.96","64.10","25.94","74.06","428"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","2","28","15","30","45","4.44","62.22","33.33","66.67","411"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","6","16","18","22","40","15.00","40.00","45.00","55.00","393"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","2","29","14","31","45","4.44","64.44","31.11","68.89","410"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","7","19","11","26","37","18.92","51.35","29.73","70.27","439"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","4","29","10","33","43","9.30","67.44","23.26","76.74","427"
"2021-2022","11","Bland County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","9","33","15","42","57","15.79","57.89","26.32","73.68","433"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","40","182","31","222","253","15.81","71.94","12.25","87.75","451"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","57","173","48","230","278","20.50","62.23","17.27","82.73","448"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","33","198","40","231","271","12.18","73.06","14.76","85.24","437"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","49","188","40","237","277","17.69","67.87","14.44","85.56","449"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","31","186","57","217","274","11.31","67.88","20.80","79.20","437"
"2021-2022","12","Botetourt County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","38","189","37","227","264","14.39","71.59","14.02","85.98","443"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","14","66","31","80","111","12.61","59.46","27.93","72.07","423"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","14","74","35","88","123","11.38","60.16","28.46","71.54","420"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","9","66","38","75","113","7.96","58.41","33.63","66.37","396"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","14","78","29","92","121","11.57","64.46","23.97","76.03","428"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","8","67","38","75","113","7.08","59.29","33.63","66.37","404"
"2021-2022","102","Bristol City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","8","80","37","88","125","6.40","64.00","29.60","70.40","419"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","<","<","<","<","17","<","<",">50","<50","339"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","<","<","<","<","12","<","<",">50","<50","288"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","0","10","1","10","11",".00","90.91","9.09","90.91","392"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","445"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","0","10","6","10","16",".00","62.50","37.50","62.50","379"
"2021-2022","13","Brunswick County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","0","12","13","12","25",".00","48.00","52.00","48.00","366"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","11","99","57","110","167","6.59","59.28","34.13","65.87","417"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","13","97","53","110","163","7.98","59.51","32.52","67.48","399"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","9","95","68","104","172","5.23","55.23","39.53","60.47","407"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","10","99","77","109","186","5.38","53.23","41.40","58.60","394"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","8","117","57","125","182","4.40","64.29","31.32","68.68","409"
"2021-2022","14","Buchanan County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","15","104","88","119","207","7.25","50.24","42.51","57.49","402"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","2","37","30","39","69","2.90","53.62","43.48","56.52","398"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","6","42","26","48","74","8.11","56.76","35.14","64.86","413"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","4","36","25","40","65","6.15","55.38","38.46","61.54","418"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","5","40","20","45","65","7.69","61.54","30.77","69.23","420"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","4","61","17","65","82","4.88","74.39","20.73","79.27","428"
"2021-2022","15","Buckingham County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","3","50","34","53","87","3.45","57.47","39.08","60.92","401"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","5","39","10","44","54","9.26","72.22","18.52","81.48","439"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","5","31","17","36","53","9.43","58.49","32.08","67.92","424"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","2","35","8","37","45","4.44","77.78","17.78","82.22","427"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","6","33","11","39","50","12.00","66.00","22.00","78.00","428"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","5","35","13","40","53","9.43","66.04","24.53","75.47","434"
"2021-2022","103","Buena Vista City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","2","40","25","42","67","2.99","59.70","37.31","62.69","411"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","22","266","120","288","408","5.39","65.20","29.41","70.59","420"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","51","235","85","286","371","13.75","63.34","22.91","77.09","434"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","26","252","91","278","369","7.05","68.29","24.66","75.34","426"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","48","248","97","296","393","12.21","63.10","24.68","75.32","430"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","39","240","92","279","371","10.51","64.69","24.80","75.20","425"
"2021-2022","16","Campbell County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","31","276","121","307","428","7.24","64.49","28.27","71.73","422"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","20","84","56","104","160","12.50","52.50","35.00","65.00","422"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","19","98","51","117","168","11.31","58.33","30.36","69.64","424"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","8","104","56","112","168","4.76","61.90","33.33","66.67","406"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","4","83","55","87","142","2.82","58.45","38.73","61.27","397"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","15","93","46","108","154","9.74","60.39","29.87","70.13","416"
"2021-2022","17","Caroline County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","7","79","62","86","148","4.73","53.38","41.89","58.11","393"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","18","149","66","167","233","7.73","63.95","28.33","71.67","423"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","30","155","38","185","223","13.45","69.51","17.04","82.96","443"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","22","150","50","172","222","9.91","67.57","22.52","77.48","430"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","27","147","52","174","226","11.95","65.04","23.01","76.99","428"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","22","163","58","185","243","9.05","67.08","23.87","76.13","430"
"2021-2022","18","Carroll County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","20","181","43","201","244","8.20","74.18","17.62","82.38","437"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","<","<","<","<","10","<","<",">50","<50","376"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","0","11","5","11","16",".00","68.75","31.25","68.75","411"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","<","<","<","<","10","<","<",">50","<50","361"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","1","13","3","14","17","5.88","76.47","17.65","82.35","425"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","2","5","6","7","13","15.38","38.46","46.15","53.85","414"
"2021-2022","19","Charles City County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","426"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","6","44","15","50","65","9.23","67.69","23.08","76.92","433"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","12","56","18","68","86","13.95","65.12","20.93","79.07","429"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","5","48","19","53","72","6.94","66.67","26.39","73.61","431"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","9","51","11","60","71","12.68","71.83","15.49","84.51","445"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","16","50","13","66","79","20.25","63.29","16.46","83.54","447"
"2021-2022","20","Charlotte County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","9","47","25","56","81","11.11","58.02","30.86","69.14","410"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","38","103","19","141","160","23.75","64.38","11.88","88.13","454"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","47","93","20","140","160","29.38","58.13","12.50","87.50","458"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","15","69","23","84","107","14.02","64.49","21.50","78.50","430"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","37","80","19","117","136","27.21","58.82","13.97","86.03","452"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","22","46","15","68","83","26.51","55.42","18.07","81.93","453"
"2021-2022","104","Charlottesville City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","28","57","19","85","104","26.92","54.81","18.27","81.73","459"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","173","828","205","1,001","1,206","14.34","68.66","17.00","83.00","442"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","303","867","178","1,170","1,348","22.48","64.32","13.20","86.80","456"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","182","940","161","1,122","1,283","14.19","73.27","12.55","87.45","445"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","233","867","211","1,100","1,311","17.77","66.13","16.09","83.91","447"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","227","965","205","1,192","1,397","16.25","69.08","14.67","85.33","444"
"2021-2022","136","Chesapeake City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","217","892","200","1,109","1,309","16.58","68.14","15.28","84.72","444"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","318","1,379","373","1,697","2,070","15.36","66.62","18.02","81.98","439"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","439","1,181","336","1,620","1,956","22.44","60.38","17.18","82.82","441"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","298","1,383","378","1,681","2,059","14.47","67.17","18.36","81.64","431"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","291","1,294","496","1,585","2,081","13.98","62.18","23.83","76.17","423"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","254","1,420","502","1,674","2,176","11.67","65.26","23.07","76.93","420"
"2021-2022","21","Chesterfield County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","307","1,396","444","1,703","2,147","14.30","65.02","20.68","79.32","429"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","7","45","27","52","79","8.86","56.96","34.18","65.82","417"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","8","46","23","54","77","10.39","59.74","29.87","70.13","427"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","14","68","20","82","102","13.73","66.67","19.61","80.39","441"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","11","49","31","60","91","12.09","53.85","34.07","65.93","421"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","17","69","16","86","102","16.67","67.65","15.69","84.31","446"
"2021-2022","22","Clarke County","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","6","80","31","86","117","5.13","68.38","26.50","73.50","419"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","4","18","2","22","24","16.67","75.00","8.33","91.67","451"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","3","14","7","17","24","12.50","58.33","29.17","70.83","431"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","2","20","4","22","26","7.69","76.92","15.38","84.62","433"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","3","17","6","20","26","11.54","65.38","23.08","76.92","416"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","3","19","10","22","32","9.38","59.38","31.25","68.75","428"
"2021-2022","202","Colonial Beach","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","4","20","7","24","31","12.90","64.52","22.58","77.42","435"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","16","71","32","87","119","13.45","59.66","26.89","73.11","432"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","7","54","21","61","82","8.54","65.85","25.61","74.39","418"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","3","61","21","64","85","3.53","71.76","24.71","75.29","432"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","9","68","34","77","111","8.11","61.26","30.63","69.37","410"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","9","65","23","74","97","9.28","67.01","23.71","76.29","427"
"2021-2022","106","Colonial Heights City","English:Reading","White, not of Hispanic origin","Grade 8","SOL","English Reading","10","67","40","77","117","8.55","57.26","34.19","65.81","402"
"2021-2022","107","Covington City","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","4","38","8","42","50","8.00","76.00","16.00","84.00","432"
"2021-2022","107","Covington City","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","2","39","29","41","70","2.86","55.71","41.43","58.57","402"
