school_year,division_number,division_name,level,test_level,pass_count,total_count,pass_rate,test_year,grade,demographic,max_grade,years_from_end,cohort,division_use,region,division,mean_rate,direction,min_rate,average,filter_out,demographic_use,level_use
2013-2014,21,Chesterfield County,Black,Grade 3,590,1025,57.56,2014,3,Race,8,5,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,69.00999999999999,-1,57.56,72.34,0,race,black
2013-2014,106,Colonial Heights City,Black,Grade 3,20,32,62.5,2014,3,Race,8,5,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,69.02000000000001,-1,62.5,73.17,0,race,black
2013-2014,24,Culpeper County,Black,Grade 3,46,86,53.49,2014,3,Race,8,5,2019,culpeper_county,Region 4 – Northern Virginia,Culpeper County,63.64,-1,53.49,67.95,0,race,black
2013-2014,25,Cumberland County,Black,Grade 3,11,31,35.48,2014,3,Race,8,5,2019,cumberland_county,Region 8 – Southside,Cumberland County,46.19,-1,35.48,52.04,0,race,black
2013-2014,108,Danville City,Black,Grade 3,148,301,49.17,2014,3,Race,8,5,2019,danville_city,Region 6 – Western Virginia,Danville City,59.47,-1,49.17,54.59,0,race,black
2013-2014,27,Dinwiddie County,Black,Grade 3,62,83,74.7,2014,3,Race,8,5,2019,dinwiddie_county,Region 1 – Central Virginia,Dinwiddie County,74.495,1,74.29,74.495,0,race,black
2013-2014,28,Essex County,Black,Grade 3,36,59,61.02,2014,3,Race,8,5,2019,essex_county,Region 3 – Northern Neck,Essex County,69.26,-1,61.02,64.1,0,race,black
2013-2014,29,Fairfax County,Black,Grade 3,709,1291,54.92,2014,3,Race,8,5,2019,fairfax_county,Region 4 – Northern Virginia,Fairfax County,68.78,-1,54.92,73.01,0,race,black
2013-2014,30,Fauquier County,Black,Grade 3,22,52,42.31,2014,3,Race,8,5,2019,fauquier_county,Region 4 – Northern Virginia,Fauquier County,59.24,-1,42.31,71.31,0,race,black
2013-2014,32,Fluvanna County,Black,Grade 3,25,46,54.35,2014,3,Race,8,5,2019,fluvanna_county,Region 5 – Valley,Fluvanna County,62.175,-1,54.35,66.78,0,race,black
2013-2014,135,Franklin City,Black,Grade 3,28,70,40,2014,3,Race,8,5,2019,franklin_city,Region 2 – Tidewater,Franklin City,57.5,-1,40,46.15,0,race,black
2013-2014,33,Franklin County,Black,Grade 3,26,41,63.41,2014,3,Race,8,5,2019,franklin_county,Region 6 – Western Virginia,Franklin County,72.535,-1,63.41,78.29,0,race,black
2013-2014,34,Frederick County,Black,Grade 3,17,41,41.46,2014,3,Race,8,5,2019,frederick_county,Region 4 – Northern Virginia,Frederick County,55.18000000000001,-1,41.46,63.98,0,race,black
2013-2014,110,Fredericksburg City,Black,Grade 3,33,79,41.77,2014,3,Race,8,5,2019,fredericksburg_city,Region 3 – Northern Neck,Fredericksburg City,57.03,-1,41.77,59.83,0,race,black
2013-2014,36,Gloucester County,Black,Grade 3,17,29,58.62,2014,3,Race,8,5,2019,gloucester_county,Region 3 – Northern Neck,Gloucester County,65.535,-1,58.62,69.89,0,race,black
2013-2014,37,Goochland County,Black,Grade 3,12,23,52.17,2014,3,Race,8,5,2019,goochland_county,Region 1 – Central Virginia,Goochland County,69.545,-1,52.17,80,0,race,black
2013-2014,39,Greene County,Black,Grade 3,8,22,36.36,2014,3,Race,8,5,2019,greene_county,Region 5 – Valley,Greene County,45.96,-1,36.36,51.94,0,race,black
2013-2014,40,Greensville County,Black,Grade 3,70,127,55.12,2014,3,Race,8,5,2019,greensville_county,Region 8 – Southside,Greensville County,70.06,-1,55.12,62.21,0,race,black
2013-2014,41,Halifax County,Black,Grade 3,79,173,45.66,2014,3,Race,8,5,2019,halifax_county,Region 8 – Southside,Halifax County,57.445,-1,45.66,58.06,0,race,black
2013-2014,112,Hampton City,Black,Grade 3,466,859,54.25,2014,3,Race,8,5,2019,hampton_city,Region 2 – Tidewater,Hampton City,64.035,-1,54.25,60.6,0,race,black
2013-2014,42,Hanover County,Black,Grade 3,63,97,64.95,2014,3,Race,8,5,2019,hanover_county,Region 1 – Central Virginia,Hanover County,73.745,-1,64.95,80.25,0,race,black
2013-2014,113,Harrisonburg City,Black,Grade 3,13,31,41.94,2014,3,Race,8,5,2019,harrisonburg_city,Region 5 – Valley,Harrisonburg City,62.635,-1,41.94,63.41,0,race,black
2013-2014,43,Henrico County,Black,Grade 3,617,1175,52.51,2014,3,Race,8,5,2019,henrico_county,Region 1 – Central Virginia,Henrico County,67.145,-1,52.51,70.03,0,race,black
2013-2014,44,Henry County,Black,Grade 3,55,102,53.92,2014,3,Race,8,5,2019,henry_county,Region 6 – Western Virginia,Henry County,61.035000000000004,-1,53.92,62.82,0,race,black
2013-2014,114,Hopewell City,Black,Grade 3,56,143,39.16,2014,3,Race,8,5,2019,hopewell_city,Region 1 – Central Virginia,Hopewell City,46.209999999999994,-1,39.16,44.91,0,race,black
2013-2014,46,Isle of Wight County,Black,Grade 3,60,90,66.67,2014,3,Race,8,5,2019,isle_of_wight_county,Region 2 – Tidewater,Isle of Wight County,75.855,-1,66.67,80.15,0,race,black
2013-2014,48,King George County,Black,Grade 3,32,58,55.17,2014,3,Race,8,5,2019,king_george_county,Region 3 – Northern Neck,King George County,64.62,-1,55.17,69.84,0,race,black
2013-2014,50,King William County,Black,Grade 3,12,28,42.86,2014,3,Race,8,5,2019,king_william_county,Region 3 – Northern Neck,King William County,51.215,-1,42.86,56.99,0,race,black
2013-2014,49,King and Queen County,Black,Grade 3,18,22,81.82,2014,3,Race,8,5,2019,king_and_queen_county,Region 3 – Northern Neck,King and Queen County,78.41,1,75,78.41,0,race,black
2013-2014,51,Lancaster County,Black,Grade 3,22,47,46.81,2014,3,Race,8,5,2019,lancaster_county,Region 3 – Northern Neck,Lancaster County,69.24000000000001,-1,46.81,63.51,0,race,black
2013-2014,53,Loudoun County,Black,Grade 3,202,332,60.84,2014,3,Race,8,5,2019,loudoun_county,Region 4 – Northern Virginia,Loudoun County,71.995,-1,60.84,78.38,0,race,black
2013-2014,54,Louisa County,Black,Grade 3,21,55,38.18,2014,3,Race,8,5,2019,louisa_county,Region 5 – Valley,Louisa County,55.120000000000005,-1,38.18,65.82,0,race,black
2013-2014,55,Lunenburg County,Black,Grade 3,15,45,33.33,2014,3,Race,8,5,2019,lunenburg_county,Region 8 – Southside,Lunenburg County,48.56,-1,33.33,51.24,0,race,black
2013-2014,115,Lynchburg City,Black,Grade 3,106,289,36.68,2014,3,Race,8,5,2019,lynchburg_city,Region 5 – Valley,Lynchburg City,55.55500000000001,-1,36.68,55,0,race,black
2013-2014,143,Manassas City,Black,Grade 3,42,70,60,2014,3,Race,8,5,2019,manassas_city,Region 4 – Northern Virginia,Manassas City,70.95,-1,60,62.12,0,race,black
2013-2014,144,Manassas Park City,Black,Grade 3,14,26,53.85,2014,3,Race,8,5,2019,manassas_park_city,Region 4 – Northern Virginia,Manassas Park City,59.905,-1,53.85,59.905,0,race,black
2013-2014,116,Martinsville City,Black,Grade 3,23,80,28.75,2014,3,Race,8,5,2019,martinsville_city,Region 6 – Western Virginia,Martinsville City,45.504999999999995,-1,28.75,43.4,0,race,black
2013-2014,58,Mecklenburg County,Black,Grade 3,68,135,50.37,2014,3,Race,8,5,2019,mecklenburg_county,Region 8 – Southside,Mecklenburg County,63.455,-1,50.37,65.26,0,race,black
2013-2014,59,Middlesex County,Black,Grade 3,18,21,85.71,2014,3,Race,8,5,2019,middlesex_county,Region 3 – Northern Neck,Middlesex County,87.02,-1,85.71,88.64,0,race,black
2013-2014,60,Montgomery County,Black,Grade 3,23,35,65.71,2014,3,Race,8,5,2019,montgomery_county,Region 6 – Western Virginia,Montgomery County,69.955,-1,65.71,73.28,0,race,black
2013-2014,63,New Kent County,Black,Grade 3,11,24,45.83,2014,3,Race,8,5,2019,new_kent_county,Region 1 – Central Virginia,New Kent County,58.12,-1,45.83,66.67,0,race,black
2013-2014,117,Newport News City,Black,Grade 3,538,1104,48.73,2014,3,Race,8,5,2019,newport_news_city,Region 2 – Tidewater,Newport News City,61.41,-1,48.73,57.8,0,race,black
2013-2014,118,Norfolk City,Black,Grade 3,678,1483,45.72,2014,3,Race,8,5,2019,norfolk_city,Region 2 – Tidewater,Norfolk City,61.33,-1,45.72,55.3,0,race,black
2013-2014,65,Northampton County,Black,Grade 3,19,48,39.58,2014,3,Race,8,5,2019,northampton_county,Region 2 – Tidewater,Northampton County,58.98,-1,39.58,57.02,0,race,black
2013-2014,66,Northumberland County,Black,Grade 3,27,42,64.29,2014,3,Race,8,5,2019,northumberland_county,Region 3 – Northern Neck,Northumberland County,78.885,-1,64.29,79,0,race,black
2013-2014,67,Nottoway County,Black,Grade 3,30,72,41.67,2014,3,Race,8,5,2019,nottoway_county,Region 8 – Southside,Nottoway County,62.01,-1,41.67,62.75,0,race,black
2013-2014,68,Orange County,Black,Grade 3,13,25,52,2014,3,Race,8,5,2019,orange_county,Region 4 – Northern Virginia,Orange County,60.585,-1,52,67.63,0,race,black
2013-2014,120,Petersburg City,Black,Grade 3,144,262,54.96,2014,3,Race,8,5,2019,petersburg_city,Region 1 – Central Virginia,Petersburg City,NA,-1,54.96,55.63,0,race,black
2013-2014,71,Pittsylvania County,Black,Grade 3,73,124,58.87,2014,3,Race,8,5,2019,pittsylvania_county,Region 6 – Western Virginia,Pittsylvania County,67.80499999999999,-1,58.87,72.7,0,race,black
2013-2014,121,Portsmouth City,Black,Grade 3,431,822,52.43,2014,3,Race,8,5,2019,portsmouth_city,Region 2 – Tidewater,Portsmouth City,63.245000000000005,-1,52.43,57.75,0,race,black
2013-2014,72,Powhatan County,Black,Grade 3,9,25,36,2014,3,Race,8,5,2019,powhatan_county,Region 1 – Central Virginia,Powhatan County,57.815,-1,36,76.38,0,race,black
2013-2014,73,Prince Edward County,Black,Grade 3,46,89,51.69,2014,3,Race,8,5,2019,prince_edward_county,Region 8 – Southside,Prince Edward County,67.94999999999999,-1,51.69,65.16,0,race,black
2013-2014,74,Prince George County,Black,Grade 3,98,134,73.13,2014,3,Race,8,5,2019,prince_george_county,Region 1 – Central Virginia,Prince George County,75.04499999999999,-1,73.13,76,0,race,black
2013-2014,75,Prince William County,Black,Grade 3,785,1246,63,2014,3,Race,8,5,2019,prince_william_county,Region 4 – Northern Virginia,Prince William County,73.325,-1,63,72.11,0,race,black
2013-2014,123,Richmond City,Black,Grade 3,685,1388,49.35,2014,3,Race,8,5,2019,richmond_city,Region 1 – Central Virginia,Richmond City,63.785,-1,49.35,53.35,0,race,black
2013-2014,79,Richmond County,Black,Grade 3,6,21,28.57,2014,3,Race,8,5,2019,richmond_county,Region 3 – Northern Neck,Richmond County,47.31999999999999,-1,28.57,55.43,0,race,black
2013-2014,124,Roanoke City,Black,Grade 3,230,388,59.28,2014,3,Race,8,5,2019,roanoke_city,Region 6 – Western Virginia,Roanoke City,68.725,-1,59.28,68.02,0,race,black
2013-2014,80,Roanoke County,Black,Grade 3,23,53,43.4,2014,3,Race,8,5,2019,roanoke_county,Region 6 – Western Virginia,Roanoke County,59.39,-1,43.4,72.06,0,race,black
2013-2014,82,Rockingham County,Black,Grade 3,9,16,56.25,2014,3,Race,8,5,2019,rockingham_county,Region 5 – Valley,Rockingham County,63.69,-1,56.25,68.74,0,race,black
2013-2014,139,Salem City,Black,Grade 3,15,21,71.43,2014,3,Race,8,5,2019,salem_city,Region 6 – Western Virginia,Salem City,75.715,-1,71.43,78.28,0,race,black
2013-2014,87,Southampton County,Black,Grade 3,33,74,44.59,2014,3,Race,8,5,2019,southampton_county,Region 2 – Tidewater,Southampton County,60.615,-1,44.59,63.68,0,race,black
2013-2014,88,Spotsylvania County,Black,Grade 3,144,269,53.53,2014,3,Race,8,5,2019,spotsylvania_county,Region 3 – Northern Neck,Spotsylvania County,61.885,-1,53.53,64.9,0,race,black
2013-2014,89,Stafford County,Black,Grade 3,166,291,57.04,2014,3,Race,8,5,2019,stafford_county,Region 3 – Northern Neck,Stafford County,66.135,-1,57.04,69.78,0,race,black
2013-2014,126,Staunton City,Black,Grade 3,14,31,45.16,2014,3,Race,8,5,2019,staunton_city,Region 5 – Valley,Staunton City,56.04,-1,45.16,60.49,0,race,black
2013-2014,127,Suffolk City,Black,Grade 3,273,581,46.99,2014,3,Race,8,5,2019,suffolk_city,Region 2 – Tidewater,Suffolk City,58.905,-1,46.99,58.13,0,race,black
2013-2014,90,Surry County,Black,Grade 3,18,36,50,2014,3,Race,8,5,2019,surry_county,Region 1 – Central Virginia,Surry County,58.335,-1,50,57.81,0,race,black
2013-2014,91,Sussex County,Black,Grade 3,23,50,46,2014,3,Race,8,5,2019,sussex_county,Region 1 – Central Virginia,Sussex County,51.260000000000005,-1,46,49.33,0,race,black
2013-2014,92,Tazewell County,Black,Grade 3,9,13,69.23,2014,3,Race,8,5,2019,tazewell_county,Region 7 – Southwest,Tazewell County,71.38,-1,69.23,73.35,0,race,black
2013-2014,128,Virginia Beach City,Black,Grade 3,665,1143,58.18,2014,3,Race,8,5,2019,virginia_beach_city,Region 2 – Tidewater,Virginia Beach City,70.185,-1,58.18,75.07,0,race,black
2013-2014,93,Warren County,Black,Grade 3,8,16,50,2014,3,Race,8,5,2019,warren_county,Region 4 – Northern Virginia,Warren County,58.54,-1,50,66.58,0,race,black
2013-2014,130,Waynesboro City,Black,Grade 3,11,25,44,2014,3,Race,8,5,2019,waynesboro_city,Region 5 – Valley,Waynesboro City,55.785,-1,44,64.26,0,race,black
2013-2014,95,Westmoreland County,Black,Grade 3,15,37,40.54,2014,3,Race,8,5,2019,westmoreland_county,Region 3 – Northern Neck,Westmoreland County,61.379999999999995,-1,40.54,64.49,0,race,black
2013-2014,131,Williamsburg-James City County,Black,Grade 3,69,138,50,2014,3,Race,8,5,2019,williamsburg-james_city_county,Region 2 – Tidewater,Williamsburg-James City County,66.65,-1,50,74.05,0,race,black
2013-2014,132,Winchester City,Black,Grade 3,12,27,44.44,2014,3,Race,8,5,2019,winchester_city,Region 4 – Northern Virginia,Winchester City,62.01,-1,44.44,71.32,0,race,black
2013-2014,98,York County,Black,Grade 3,56,98,57.14,2014,3,Race,8,5,2019,york_county,Region 2 – Tidewater,York County,67.44,-1,57.14,74.97,0,race,black
2014-2015,1,Accomack County,Black,Grade 4,48,107,44.86,2015,4,Race,8,4,2019,accomack_county,Region 2 – Tidewater,Accomack County,63.525,-1,44.86,66.57,0,race,black
2014-2015,2,Albemarle County,Black,Grade 4,40,100,40,2015,4,Race,8,4,2019,albemarle_county,Region 5 – Valley,Albemarle County,61.665,-1,40,76.36,0,race,black
2014-2015,101,Alexandria City,Black,Grade 4,173,296,58.45,2015,4,Race,8,4,2019,alexandria_city,Region 4 – Northern Virginia,Alexandria City,75.14,-1,58.45,66.93,0,race,black
2014-2015,4,Amelia County,Black,Grade 4,14,28,50,2015,4,Race,8,4,2019,amelia_county,Region 8 – Southside,Amelia County,66.66499999999999,-1,50,73.73,0,race,black
2014-2015,5,Amherst County,Black,Grade 4,30,48,62.5,2015,4,Race,8,4,2019,amherst_county,Region 5 – Valley,Amherst County,70.58500000000001,-1,62.5,75.99,0,race,black
2014-2015,6,Appomattox County,Black,Grade 4,26,33,78.79,2015,4,Race,8,4,2019,appomattox_county,Region 8 – Southside,Appomattox County,82.96000000000001,-1,78.79,85.52,0,race,black
2014-2015,7,Arlington County,Black,Grade 4,104,150,69.33,2015,4,Race,8,4,2019,arlington_county,Region 4 – Northern Virginia,Arlington County,82.28,-1,69.33,86.43,0,race,black
2014-2015,10,Bedford County,Black,Grade 4,24,57,42.11,2015,4,Race,8,4,2019,bedford_county,Region 5 – Valley,Bedford County,61.005,-1,42.11,76.38,0,race,black
2014-2015,13,Brunswick County,Black,Grade 4,70,95,73.68,2015,4,Race,8,4,2019,brunswick_county,Region 8 – Southside,Brunswick County,71.84,1,70,70,0,race,black
2014-2015,15,Buckingham County,Black,Grade 4,30,57,52.63,2015,4,Race,8,4,2019,buckingham_county,Region 8 – Southside,Buckingham County,66.575,-1,52.63,70.2,0,race,black
2014-2015,16,Campbell County,Black,Grade 4,55,86,63.95,2015,4,Race,8,4,2019,campbell_county,Region 5 – Valley,Campbell County,76.1,-1,63.95,83.58,0,race,black
2014-2015,17,Caroline County,Black,Grade 4,69,113,61.06,2015,4,Race,8,4,2019,caroline_county,Region 3 – Northern Neck,Caroline County,66.5,-1,61.06,67.64,0,race,black
2014-2015,19,Charles City County,Black,Grade 4,14,33,42.42,2015,4,Race,8,4,2019,charles_city_county,Region 1 – Central Virginia,Charles City County,59.445,-1,42.42,51.72,0,race,black
2014-2015,20,Charlotte County,Black,Grade 4,24,44,54.55,2015,4,Race,8,4,2019,charlotte_county,Region 8 – Southside,Charlotte County,69.035,-1,54.55,73.94,0,race,black
2014-2015,104,Charlottesville City,Black,Grade 4,73,115,63.48,2015,4,Race,8,4,2019,charlottesville_city,Region 5 – Valley,Charlottesville City,79.175,-1,63.48,77.93,0,race,black
2014-2015,136,Chesapeake City,Black,Grade 4,608,883,68.86,2015,4,Race,8,4,2019,chesapeake_city,Region 2 – Tidewater,Chesapeake City,77.5,-1,68.86,79.71,0,race,black
2014-2015,21,Chesterfield County,Black,Grade 4,751,1058,70.98,2015,4,Race,8,4,2019,chesterfield_county,Region 1 – Central Virginia,Chesterfield County,79.62,-1,70.98,81.06,0,race,black
2014-2015,106,Colonial Heights City,Black,Grade 4,27,35,77.14,2015,4,Race,8,4,2019,colonial_heights_city,Region 1 – Central Virginia,Colonial Heights City,81.375,-1,77.14,84.65,0,race,black
2014-2015,107,Covington City,Black,Grade 4,7,10,70,2015,4,Race,8,4,2019,covington_city,Region 6 – Western Virginia,Covington City,73.775,-1,70,74.6,0,race,black
2014-2015,24,Culpeper County,Black,Grade 4,51,78,65.38,2015,4,Race,8,4,2019,culpeper_county,Region 4 – Northern Virginia,Culpeper County,75.455,-1,65.38,77.65,0,race,black
2014-2015,25,Cumberland County,Black,Grade 4,19,36,52.78,2015,4,Race,8,4,2019,cumberland_county,Region 8 – Southside,Cumberland County,58.21,-1,52.78,59.18,0,race,black
2014-2015,108,Danville City,Black,Grade 4,142,295,48.14,2015,4,Race,8,4,2019,danville_city,Region 6 – Western Virginia,Danville City,59.695,-1,48.14,54.91,0,race,black
2014-2015,27,Dinwiddie County,Black,Grade 4,73,89,82.02,2015,4,Race,8,4,2019,dinwiddie_county,Region 1 – Central Virginia,Dinwiddie County,82.675,-1,82.02,82.64,0,race,black
2014-2015,28,Essex County,Black,Grade 4,33,52,63.46,2015,4,Race,8,4,2019,essex_county,Region 3 – Northern Neck,Essex County,70.755,-1,63.46,66.36,0,race,black
2014-2015,29,Fairfax County,Black,Grade 4,926,1372,67.49,2015,4,Race,8,4,2019,fairfax_county,Region 4 – Northern Virginia,Fairfax County,79.07499999999999,-1,67.49,81.51,0,race,black
2014-2015,30,Fauquier County,Black,Grade 4,32,52,61.54,2015,4,Race,8,4,2019,fauquier_county,Region 4 – Northern Virginia,Fauquier County,70.535,-1,61.54,76.9,0,race,black
2014-2015,32,Fluvanna County,Black,Grade 4,26,45,57.78,2015,4,Race,8,4,2019,fluvanna_county,Region 5 – Valley,Fluvanna County,68.75,-1,57.78,75.43,0,race,black
2014-2015,135,Franklin City,Black,Grade 4,40,57,70.18,2015,4,Race,8,4,2019,franklin_city,Region 2 – Tidewater,Franklin City,72.59,-1,70.18,70.83,0,race,black
2014-2015,33,Franklin County,Black,Grade 4,28,40,70,2015,4,Race,8,4,2019,franklin_county,Region 6 – Western Virginia,Franklin County,77.84,-1,70,83.9,0,race,black
2014-2015,34,Frederick County,Black,Grade 4,22,44,50,2015,4,Race,8,4,2019,frederick_county,Region 4 – Northern Virginia,Frederick County,62.29,-1,50,71.14,0,race,black
2014-2015,110,Fredericksburg City,Black,Grade 4,51,80,63.75,2015,4,Race,8,4,2019,fredericksburg_city,Region 3 – Northern Neck,Fredericksburg City,75.08500000000001,-1,63.75,76.09,0,race,black
2014-2015,36,Gloucester County,Black,Grade 4,25,30,83.33,2015,4,Race,8,4,2019,gloucester_county,Region 3 – Northern Neck,Gloucester County,85.27,-1,83.33,86.1,0,race,black
2014-2015,37,Goochland County,Black,Grade 4,18,25,72,2015,4,Race,8,4,2019,goochland_county,Region 1 – Central Virginia,Goochland County,83.06,-1,72,90.45,0,race,black
2014-2015,39,Greene County,Black,Grade 4,13,27,48.15,2015,4,Race,8,4,2019,greene_county,Region 5 – Valley,Greene County,56.055,-1,48.15,62.12,0,race,black
2014-2015,40,Greensville County,Black,Grade 4,81,134,60.45,2015,4,Race,8,4,2019,greensville_county,Region 8 – Southside,Greensville County,72.725,-1,60.45,67.04,0,race,black
2014-2015,41,Halifax County,Black,Grade 4,90,165,54.55,2015,4,Race,8,4,2019,halifax_county,Region 8 – Southside,Halifax County,65.305,-1,54.55,66.31,0,race,black
2014-2015,112,Hampton City,Black,Grade 4,534,873,61.17,2015,4,Race,8,4,2019,hampton_city,Region 2 – Tidewater,Hampton City,71.35,-1,61.17,68.54,0,race,black
2014-2015,42,Hanover County,Black,Grade 4,74,101,73.27,2015,4,Race,8,4,2019,hanover_county,Region 1 – Central Virginia,Hanover County,79.78,-1,73.27,84.24,0,race,black
2014-2015,113,Harrisonburg City,Black,Grade 4,14,29,48.28,2015,4,Race,8,4,2019,harrisonburg_city,Region 5 – Valley,Harrisonburg City,63.63,-1,48.28,67.45,0,race,black
2014-2015,43,Henrico County,Black,Grade 4,717,1200,59.75,2015,4,Race,8,4,2019,henrico_county,Region 1 – Central Virginia,Henrico County,72.81,-1,59.75,75.14,0,race,black
2014-2015,44,Henry County,Black,Grade 4,59,102,57.84,2015,4,Race,8,4,2019,henry_county,Region 6 – Western Virginia,Henry County,68.27000000000001,-1,57.84,71.34,0,race,black
2014-2015,114,Hopewell City,Black,Grade 4,79,147,53.74,2015,4,Race,8,4,2019,hopewell_city,Region 1 – Central Virginia,Hopewell City,58.845,-1,53.74,58.28,0,race,black
2014-2015,46,Isle of Wight County,Black,Grade 4,65,99,65.66,2015,4,Race,8,4,2019,isle_of_wight_county,Region 2 – Tidewater,Isle of Wight County,75.06,-1,65.66,79.22,0,race,black
2014-2015,48,King George County,Black,Grade 4,43,62,69.35,2015,4,Race,8,4,2019,king_george_county,Region 3 – Northern Neck,King George County,76.85499999999999,-1,69.35,81.09,0,race,black
2014-2015,50,King William County,Black,Grade 4,19,33,57.58,2015,4,Race,8,4,2019,king_william_county,Region 3 – Northern Neck,King William County,64.86,-1,57.58,69.47,0,race,black
2014-2015,49,King and Queen County,Black,Grade 4,15,19,78.95,2015,4,Race,8,4,2019,king_and_queen_county,Region 3 – Northern Neck,King and Queen County,79.80000000000001,-1,78.95,79.80000000000001,0,race,black
2014-2015,51,Lancaster County,Black,Grade 4,26,47,55.32,2015,4,Race,8,4,2019,lancaster_county,Region 3 – Northern Neck,Lancaster County,62.275000000000006,-1,55.32,61.33,0,race,black
2014-2015,53,Loudoun County,Black,Grade 4,244,355,68.73,2015,4,Race,8,4,2019,loudoun_county,Region 4 – Northern Virginia,Loudoun County,77.80000000000001,-1,68.73,83.54,0,race,black
2014-2015,54,Louisa County,Black,Grade 4,30,53,56.6,2015,4,Race,8,4,2019,louisa_county,Region 5 – Valley,Louisa County,67.23,-1,56.6,73.58,0,race,black
2014-2015,55,Lunenburg County,Black,Grade 4,17,41,41.46,2015,4,Race,8,4,2019,lunenburg_county,Region 8 – Southside,Lunenburg County,55.155,-1,41.46,57.72,0,race,black
2014-2015,115,Lynchburg City,Black,Grade 4,157,301,52.16,2015,4,Race,8,4,2019,lynchburg_city,Region 5 – Valley,Lynchburg City,69.88499999999999,-1,52.16,68.64,0,race,black
2014-2015,143,Manassas City,Black,Grade 4,43,61,70.49,2015,4,Race,8,4,2019,manassas_city,Region 4 – Northern Virginia,Manassas City,81.745,-1,70.49,81.745,0,race,black
2014-2015,144,Manassas Park City,Black,Grade 4,16,26,61.54,2015,4,Race,8,4,2019,manassas_park_city,Region 4 – Northern Virginia,Manassas Park City,69.795,-1,61.54,69.795,0,race,black
2014-2015,116,Martinsville City,Black,Grade 4,34,82,41.46,2015,4,Race,8,4,2019,martinsville_city,Region 6 – Western Virginia,Martinsville City,57.004999999999995,-1,41.46,56.96,0,race,black
2014-2015,58,Mecklenburg County,Black,Grade 4,70,121,57.85,2015,4,Race,8,4,2019,mecklenburg_county,Region 8 – Southside,Mecklenburg County,69.61,-1,57.85,71.85,0,race,black
